accession	species	superkingdom	phylum	class	order	family	genus	data_type
3300003109_2	3300003109_2							unsupervised
3300020341_4	3300020341_4							unsupervised
3300025029_2	3300025029_2							unsupervised
3300005958_4	3300005958_4							unsupervised
3300009709_21	3300009709_21							unsupervised
3300029377_34	3300029377_34							unsupervised
3300025248_4	3300025248_4							unsupervised
3300029378_23	3300029378_23							unsupervised
3300021343_17	3300021343_17							unsupervised
3300028570_38	3300028570_38							unsupervised
3300026969_3	3300026969_3							unsupervised
3300011970_5	3300011970_5							unsupervised
3300011618_1	3300011618_1							unsupervised
3300029544_10	3300029544_10							unsupervised
3300027645_7	3300027645_7							unsupervised
3300029060_18	3300029060_18							unsupervised
3300024923_3	3300024923_3							unsupervised
3300029742_31	3300029742_31							unsupervised
3300005253_7	3300005253_7							unsupervised
3300027353_7	3300027353_7							unsupervised
3300029217_6	3300029217_6							unsupervised
3300017816_10	3300017816_10							unsupervised
3300005286_24	3300005286_24							unsupervised
3300014545_5	3300014545_5							unsupervised
3300027744_10	3300027744_10							unsupervised
3300027328_19	3300027328_19							unsupervised
3300007501_3	3300007501_3							unsupervised
3300014037_28	3300014037_28							unsupervised
3300017513_31	3300017513_31							unsupervised
3300029473_11	3300029473_11							unsupervised
3300011215_8	3300011215_8							unsupervised
3300006525_18	3300006525_18							unsupervised
3300011790_6	3300011790_6							unsupervised
3300026035_37	3300026035_37							unsupervised
3300020189_33	3300020189_33							unsupervised
3300010269_17	3300010269_17							unsupervised
3300029566_26	3300029566_26							unsupervised
3300029482_4	3300029482_4							unsupervised
3300006499_24	3300006499_24							unsupervised
3300029030_2	3300029030_2							unsupervised
3300029540_19	3300029540_19							unsupervised
3300011357_2	3300011357_2							unsupervised
3300002481_33	3300002481_33							unsupervised
3300029350_14	3300029350_14							unsupervised
3300021125_2	3300021125_2							unsupervised
3300025881_45	3300025881_45							unsupervised
3300025094_31	3300025094_31							unsupervised
3300025617_33	3300025617_33							unsupervised
3300010273_34	3300010273_34							unsupervised
3300029380_31	3300029380_31							unsupervised
3300029365_20	3300029365_20							unsupervised
3300008142_33	3300008142_33							unsupervised
3300005460_37	3300005460_37							unsupervised
3300013876_5	3300013876_5							unsupervised
3300008270_3	3300008270_3							unsupervised
3300008301_1	3300008301_1							unsupervised
3300029688_27	3300029688_27							unsupervised
3300007732_7	3300007732_7							unsupervised
3300022738_8	3300022738_8							unsupervised
3300023104_6	3300023104_6							unsupervised
3300029508_14	3300029508_14							unsupervised
3300029886_13	3300029886_13							unsupervised
3300009503_140	3300009503_140							unsupervised
3300012817_7	3300012817_7							unsupervised
3300025079_2	3300025079_2							unsupervised
3300029133_25	3300029133_25							unsupervised
3300029708_23	3300029708_23							unsupervised
3300029478_13	3300029478_13							unsupervised
3300017509_32	3300017509_32							unsupervised
3300020396_7	3300020396_7							unsupervised
3300029428_9	3300029428_9							unsupervised
3300029470_8	3300029470_8							unsupervised
3300029254_8	3300029254_8							unsupervised
3300011769_4	3300011769_4							unsupervised
3300021400_58	3300021400_58							unsupervised
3300000394_2	3300000394_2							unsupervised
3300029747_25	3300029747_25							unsupervised
3300027851_44	3300027851_44							unsupervised
3300026848_9	3300026848_9							unsupervised
3300008739_4	3300008739_4							unsupervised
3300014529_3	3300014529_3							unsupervised
3300028066_2	3300028066_2							unsupervised
3300028561_39	3300028561_39							unsupervised
3300022143_4	3300022143_4							unsupervised
3300029784_13	3300029784_13							unsupervised
3300029700_30	3300029700_30							unsupervised
3300021093_31	3300021093_31							unsupervised
3300029515_12	3300029515_12							unsupervised
3300011735_1	3300011735_1							unsupervised
3300029243_27	3300029243_27							unsupervised
3300011136_3	3300011136_3							unsupervised
3300005512_26	3300005512_26							unsupervised
3300012879_10	3300012879_10							unsupervised
3300029416_6	3300029416_6							unsupervised
3300026964_3	3300026964_3							unsupervised
3300012889_27	3300012889_27							unsupervised
3300029119_26	3300029119_26							unsupervised
3300005279_13	3300005279_13							unsupervised
3300029497_12	3300029497_12							unsupervised
3300022909_23	3300022909_23							unsupervised
3300020171_9	3300020171_9							unsupervised
3300008575_3	3300008575_3							unsupervised
3300025344_2	3300025344_2							unsupervised
3300012806_2	3300012806_2							unsupervised
3300029068_1	3300029068_1							unsupervised
3300007664_24	3300007664_24							unsupervised
3300027815_65	3300027815_65							unsupervised
3300007353_10	3300007353_10							unsupervised
3300029577_17	3300029577_17							unsupervised
3300017494_19	3300017494_19							unsupervised
3300008136_14	3300008136_14							unsupervised
3300027958_38	3300027958_38							unsupervised
3300029494_22	3300029494_22							unsupervised
3300027028_8	3300027028_8							unsupervised
3300025913_95	3300025913_95							unsupervised
3300029425_17	3300029425_17							unsupervised
3300014047_7	3300014047_7							unsupervised
3300007966_12	3300007966_12							unsupervised
3300012864_7	3300012864_7							unsupervised
3300014964_48	3300014964_48							unsupervised
3300021426_60	3300021426_60							unsupervised
3300008268_16	3300008268_16							unsupervised
3300022227_39	3300022227_39							unsupervised
3300025623_31	3300025623_31							unsupervised
3300029538_22	3300029538_22							unsupervised
3300027668_9	3300027668_9							unsupervised
3300026278_12	3300026278_12							unsupervised
3300010428_20	3300010428_20							unsupervised
3300029718_19	3300029718_19							unsupervised
3300014844_1	3300014844_1							unsupervised
3300025648_13	3300025648_13							unsupervised
3300022660_139	3300022660_139							unsupervised
3300018790_9	3300018790_9							unsupervised
3300021414_5	3300021414_5							unsupervised
3300024911_3	3300024911_3							unsupervised
3300027980_28	3300027980_28							unsupervised
3300017532_30	3300017532_30							unsupervised
3300011726_2	3300011726_2							unsupervised
3300029595_9	3300029595_9							unsupervised
3300007646_4	3300007646_4							unsupervised
3300029745_18	3300029745_18							unsupervised
3300025602_12	3300025602_12							unsupervised
3300007722_74	3300007722_74							unsupervised
3300029620_26	3300029620_26							unsupervised
3300011610_1	3300011610_1							unsupervised
3300029195_11	3300029195_11							unsupervised
3300029252_12	3300029252_12							unsupervised
3300025347_10	3300025347_10							unsupervised
3300025118_8	3300025118_8							unsupervised
3300006001_3	3300006001_3							unsupervised
3300011861_1	3300011861_1							unsupervised
3300029661_24	3300029661_24							unsupervised
3300025298_14	3300025298_14							unsupervised
3300027980_36	3300027980_36							unsupervised
3300029492_30	3300029492_30							unsupervised
3300029114_23	3300029114_23							unsupervised
3300029488_18	3300029488_18							unsupervised
3300007640_5	3300007640_5							unsupervised
3300029583_20	3300029583_20							unsupervised
3300010285_26	3300010285_26							unsupervised
3300013495_1	3300013495_1							unsupervised
3300011362_2	3300011362_2							unsupervised
3300008271_30	3300008271_30							unsupervised
3300005958_6	3300005958_6							unsupervised
3300009767_14	3300009767_14							unsupervised
3300029885_11	3300029885_11							unsupervised
3300005291_1	3300005291_1							unsupervised
3300008479_21	3300008479_21							unsupervised
3300029874_19	3300029874_19							unsupervised
3300012852_11	3300012852_11							unsupervised
3300025651_3	3300025651_3							unsupervised
3300029126_15	3300029126_15							unsupervised
3300022661_128	3300022661_128							unsupervised
3300025525_14	3300025525_14							unsupervised
3300029712_19	3300029712_19							unsupervised
3300018878_143	3300018878_143							unsupervised
3300025409_14	3300025409_14							unsupervised
3300025233_16	3300025233_16							unsupervised
3300025248_11	3300025248_11							unsupervised
3300011743_1	3300011743_1							unsupervised
3300029857_33	3300029857_33							unsupervised
3300008096_27	3300008096_27							unsupervised
3300025480_6	3300025480_6							unsupervised
3300007805_6	3300007805_6							unsupervised
3300026255_6	3300026255_6							unsupervised
3300012811_1	3300012811_1							unsupervised
3300008096_29	3300008096_29							unsupervised
3300014532_5	3300014532_5							unsupervised
3300027327_23	3300027327_23							unsupervised
3300025272_9	3300025272_9							unsupervised
3300024277_5	3300024277_5							unsupervised
3300006289_8	3300006289_8							unsupervised
3300026519_18	3300026519_18							unsupervised
3300025408_9	3300025408_9							unsupervised
3300029767_11	3300029767_11							unsupervised
3300026991_7	3300026991_7							unsupervised
3300029845_35	3300029845_35							unsupervised
3300012813_7	3300012813_7							unsupervised
3300029354_17	3300029354_17							unsupervised
3300013931_1	3300013931_1							unsupervised
3300022884_4	3300022884_4							unsupervised
3300029518_18	3300029518_18							unsupervised
3300029857_16	3300029857_16							unsupervised
3300029748_17	3300029748_17							unsupervised
3300025086_5	3300025086_5							unsupervised
3300029650_10	3300029650_10							unsupervised
3300028959_6	3300028959_6							unsupervised
3300011945_4	3300011945_4							unsupervised
3300007105_7	3300007105_7							unsupervised
3300029548_28	3300029548_28							unsupervised
3300013353_6	3300013353_6							unsupervised
3300029452_5	3300029452_5							unsupervised
3300007318_2	3300007318_2							unsupervised
3300020154_4	3300020154_4							unsupervised
3300025105_53	3300025105_53							unsupervised
3300012889_17	3300012889_17							unsupervised
3300025291_42	3300025291_42							unsupervised
3300012541_1	3300012541_1							unsupervised
3300011636_5	3300011636_5							unsupervised
3300029120_22	3300029120_22							unsupervised
3300011752_4	3300011752_4							unsupervised
3300029244_14	3300029244_14							unsupervised
3300025503_28	3300025503_28							unsupervised
3300007732_18	3300007732_18							unsupervised
3300028086_1	3300028086_1							unsupervised
3300027834_30	3300027834_30							unsupervised
3300008745_8	3300008745_8							unsupervised
3300025086_3	3300025086_3							unsupervised
3300025830_22	3300025830_22							unsupervised
3300018878_160	3300018878_160							unsupervised
3300029470_15	3300029470_15							unsupervised
3300026206_21	3300026206_21							unsupervised
3300008418_15	3300008418_15							unsupervised
3300006260_23	3300006260_23							unsupervised
3300029741_19	3300029741_19							unsupervised
3300012812_1	3300012812_1							unsupervised
3300029684_30	3300029684_30							unsupervised
3300027367_3	3300027367_3							unsupervised
3300025086_4	3300025086_4							unsupervised
3300014520_7	3300014520_7							unsupervised
3300021057_3	3300021057_3							unsupervised
3300013131_77	3300013131_77							unsupervised
3300011869_5	3300011869_5							unsupervised
3300026303_10	3300026303_10							unsupervised
3300029713_26	3300029713_26							unsupervised
3300007361_21	3300007361_21							unsupervised
3300011612_1	3300011612_1							unsupervised
3300013499_7	3300013499_7							unsupervised
3300027284_28	3300027284_28							unsupervised
3300029472_12	3300029472_12							unsupervised
3300008341_3	3300008341_3							unsupervised
3300024906_4	3300024906_4							unsupervised
3300029105_7	3300029105_7							unsupervised
3300025503_27	3300025503_27							unsupervised
3300007805_18	3300007805_18							unsupervised
3300007664_14	3300007664_14							unsupervised
3300018878_107	3300018878_107							unsupervised
3300029409_14	3300029409_14							unsupervised
3300029619_22	3300029619_22							unsupervised
3300021341_28	3300021341_28							unsupervised
3300027967_57	3300027967_57							unsupervised
3300008271_4	3300008271_4							unsupervised
3300005253_6	3300005253_6							unsupervised
3300017419_24	3300017419_24							unsupervised
3300025678_33	3300025678_33							unsupervised
3300014549_7	3300014549_7							unsupervised
3300025286_17	3300025286_17							unsupervised
3300025361_8	3300025361_8							unsupervised
3300011485_1	3300011485_1							unsupervised
3300014094_4	3300014094_4							unsupervised
3300014563_4	3300014563_4							unsupervised
3300007220_16	3300007220_16							unsupervised
3300029871_31	3300029871_31							unsupervised
3300007966_31	3300007966_31							unsupervised
3300029573_17	3300029573_17							unsupervised
3300008496_12	3300008496_12							unsupervised
3300029703_11	3300029703_11							unsupervised
3300029553_25	3300029553_25							unsupervised
3300012804_3	3300012804_3							unsupervised
3300008746_14	3300008746_14							unsupervised
3300029034_7	3300029034_7							unsupervised
3300020478_30	3300020478_30							unsupervised
3300014565_4	3300014565_4							unsupervised
3300017963_38	3300017963_38							unsupervised
3300008096_22	3300008096_22							unsupervised
3300020186_23	3300020186_23							unsupervised
3300029384_18	3300029384_18							unsupervised
3300029782_20	3300029782_20							unsupervised
3300026965_6	3300026965_6							unsupervised
3300012880_18	3300012880_18							unsupervised
3300029066_3	3300029066_3							unsupervised
3300014786_12	3300014786_12							unsupervised
3300029795_23	3300029795_23							unsupervised
3300029219_22	3300029219_22							unsupervised
3300024046_10	3300024046_10							unsupervised
3300011002_20	3300011002_20							unsupervised
3300025061_3	3300025061_3							unsupervised
3300007531_21	3300007531_21							unsupervised
3300011853_1	3300011853_1							unsupervised
3300027828_28	3300027828_28							unsupervised
3300011636_2	3300011636_2							unsupervised
3300029540_20	3300029540_20							unsupervised
3300029421_21	3300029421_21							unsupervised
3300029610_25	3300029610_25							unsupervised
3300025686_56	3300025686_56							unsupervised
3300011479_2	3300011479_2							unsupervised
3300026516_42	3300026516_42							unsupervised
3300029390_15	3300029390_15							unsupervised
3300025575_9	3300025575_9							unsupervised
3300023187_9	3300023187_9							unsupervised
3300029190_10	3300029190_10							unsupervised
3300029780_8	3300029780_8							unsupervised
3300029405_14	3300029405_14							unsupervised
3300029647_11	3300029647_11							unsupervised
3300025909_42	3300025909_42							unsupervised
3300026874_5	3300026874_5							unsupervised
3300029338_23	3300029338_23							unsupervised
3300014048_5	3300014048_5							unsupervised
3300025125_1	3300025125_1							unsupervised
3300010396_55	3300010396_55							unsupervised
3300027719_23	3300027719_23							unsupervised
3300029336_20	3300029336_20							unsupervised
3300024218_10	3300024218_10							unsupervised
3300014964_14	3300014964_14							unsupervised
3300024929_5	3300024929_5							unsupervised
3300012813_8	3300012813_8							unsupervised
3300029710_15	3300029710_15							unsupervised
3300013728_2	3300013728_2							unsupervised
3300020328_2	3300020328_2							unsupervised
3300027339_7	3300027339_7							unsupervised
3300027673_27	3300027673_27							unsupervised
3300019124_9	3300019124_9							unsupervised
3300029404_10	3300029404_10							unsupervised
3300009566_20	3300009566_20							unsupervised
3300010270_8	3300010270_8							unsupervised
3300008712_16	3300008712_16							unsupervised
3300025602_32	3300025602_32							unsupervised
3300029870_10	3300029870_10							unsupervised
3300006256_25	3300006256_25							unsupervised
3300029485_11	3300029485_11							unsupervised
3300028323_1	3300028323_1							unsupervised
3300029815_27	3300029815_27							unsupervised
Coccidioides	Coccidioides							unsupervised
3300029338_20	3300029338_20							unsupervised
3300029779_15	3300029779_15							unsupervised
3300026303_11	3300026303_11							unsupervised
3300008676_13	3300008676_13							unsupervised
3300029579_34	3300029579_34							unsupervised
3300011472_4	3300011472_4							unsupervised
3300006045_78	3300006045_78							unsupervised
3300026280_13	3300026280_13							unsupervised
3300025362_1	3300025362_1							unsupervised
3300011650_1	3300011650_1							unsupervised
3300010268_13	3300010268_13							unsupervised
3300029692_19	3300029692_19							unsupervised
3300017788_96	3300017788_96							unsupervised
3300020025_2	3300020025_2							unsupervised
3300027509_24	3300027509_24							unsupervised
3300010276_10	3300010276_10							unsupervised
3300012973_28	3300012973_28							unsupervised
3300029614_14	3300029614_14							unsupervised
3300022470_29	3300022470_29							unsupervised
3300006322_8	3300006322_8							unsupervised
3300025082_6	3300025082_6							unsupervised
3300007356_4	3300007356_4							unsupervised
3300025161_34	3300025161_34							unsupervised
3300021843_40	3300021843_40							unsupervised
3300025575_29	3300025575_29							unsupervised
3300017518_10	3300017518_10							unsupervised
3300029690_17	3300029690_17							unsupervised
3300027770_41	3300027770_41							unsupervised
3300029376_14	3300029376_14							unsupervised
3300029858_12	3300029858_12							unsupervised
3300008640_15	3300008640_15							unsupervised
3300009083_74	3300009083_74							unsupervised
3300029739_25	3300029739_25							unsupervised
3300028627_15	3300028627_15							unsupervised
3300027951_9	3300027951_9							unsupervised
3300029483_31	3300029483_31							unsupervised
3300029772_11	3300029772_11							unsupervised
3300029851_11	3300029851_11							unsupervised
3300025571_29	3300025571_29							unsupervised
3300029367_6	3300029367_6							unsupervised
3300017940_17	3300017940_17							unsupervised
3300029715_36	3300029715_36							unsupervised
3300025422_10	3300025422_10							unsupervised
2061766007_92	2061766007_92							unsupervised
3300029539_25	3300029539_25							unsupervised
3300029823_8	3300029823_8							unsupervised
3300010273_35	3300010273_35							unsupervised
3300029420_23	3300029420_23							unsupervised
3300008626_12	3300008626_12							unsupervised
3300008481_19	3300008481_19							unsupervised
3300028633_7	3300028633_7							unsupervised
3300027828_45	3300027828_45							unsupervised
3300000942_1	3300000942_1							unsupervised
3300026255_9	3300026255_9							unsupervised
3300029713_19	3300029713_19							unsupervised
3300029206_16	3300029206_16							unsupervised
3300029718_45	3300029718_45							unsupervised
3300011572_2	3300011572_2							unsupervised
3300029562_23	3300029562_23							unsupervised
3300008512_11	3300008512_11							unsupervised
3300026194_17	3300026194_17							unsupervised
3300008418_19	3300008418_19							unsupervised
3300025517_10	3300025517_10							unsupervised
3300029204_23	3300029204_23							unsupervised
3300011692_1	3300011692_1							unsupervised
3300029370_5	3300029370_5							unsupervised
3300020153_23	3300020153_23							unsupervised
3300012004_1	3300012004_1							unsupervised
3300028277_12	3300028277_12							unsupervised
3300012889_34	3300012889_34							unsupervised
3300029760_15	3300029760_15							unsupervised
3300023174_57	3300023174_57							unsupervised
3300008125_24	3300008125_24							unsupervised
3300025243_6	3300025243_6							unsupervised
3300026776_2	3300026776_2							unsupervised
3300021091_54	3300021091_54							unsupervised
3300012144_11	3300012144_11							unsupervised
3300027706_51	3300027706_51							unsupervised
3300008716_22	3300008716_22							unsupervised
3300029465_10	3300029465_10							unsupervised
3300024928_1	3300024928_1							unsupervised
3300010280_18	3300010280_18							unsupervised
3300027111_9	3300027111_9							unsupervised
3300025226_9	3300025226_9							unsupervised
3300026228_2	3300026228_2							unsupervised
3300011650_2	3300011650_2							unsupervised
3300010270_18	3300010270_18							unsupervised
3300029860_32	3300029860_32							unsupervised
3300007924_25	3300007924_25							unsupervised
3300007669_18	3300007669_18							unsupervised
3300003272_3	3300003272_3							unsupervised
3300029777_19	3300029777_19							unsupervised
3300029483_12	3300029483_12							unsupervised
3300029750_5	3300029750_5							unsupervised
3300029668_9	3300029668_9							unsupervised
3300025577_9	3300025577_9							unsupervised
3300029718_27	3300029718_27							unsupervised
3300005337_7	3300005337_7							unsupervised
3300025347_12	3300025347_12							unsupervised
3300029517_16	3300029517_16							unsupervised
3300029763_14	3300029763_14							unsupervised
3300020220_97	3300020220_97							unsupervised
3300029379_33	3300029379_33							unsupervised
3300029888_14	3300029888_14							unsupervised
3300029186_9	3300029186_9							unsupervised
3300013656_2	3300013656_2							unsupervised
3300007079_3	3300007079_3							unsupervised
3300028603_99	3300028603_99							unsupervised
3300008081_25	3300008081_25							unsupervised
3300029577_15	3300029577_15							unsupervised
3300011390_5	3300011390_5							unsupervised
3300025300_9	3300025300_9							unsupervised
3300022855_4	3300022855_4							unsupervised
3300025706_5	3300025706_5							unsupervised
3300008728_18	3300008728_18							unsupervised
3300014541_5	3300014541_5							unsupervised
3300025082_8	3300025082_8							unsupervised
3300029609_17	3300029609_17							unsupervised
3300007501_14	3300007501_14							unsupervised
3300027719_22	3300027719_22							unsupervised
3300012089_4	3300012089_4							unsupervised
3300011458_1	3300011458_1							unsupervised
3300029765_16	3300029765_16							unsupervised
3300017470_17	3300017470_17							unsupervised
3300007222_15	3300007222_15							unsupervised
3300003155_8	3300003155_8							unsupervised
3300025603_19	3300025603_19							unsupervised
3300011717_2	3300011717_2							unsupervised
3300025260_1	3300025260_1							unsupervised
3300029098_12	3300029098_12							unsupervised
3300029765_12	3300029765_12							unsupervised
3300029586_14	3300029586_14							unsupervised
3300029297_9	3300029297_9							unsupervised
3300017553_9	3300017553_9							unsupervised
3300020388_27	3300020388_27							unsupervised
3300007805_16	3300007805_16							unsupervised
3300011588_1	3300011588_1							unsupervised
3300029392_16	3300029392_16							unsupervised
3300006296_1	3300006296_1							unsupervised
3300027283_7	3300027283_7							unsupervised
GCA_016432935.1_ASM1643293v1_genomic	Benedenia humboldti		Platyhelminthes	Monogenea	Capsalidea	Capsalidae	Benedenia	unsupervised
3300025295_16	3300025295_16							unsupervised
3300027007_8	3300027007_8							unsupervised
3300029333_22	3300029333_22							unsupervised
3300027206_2	3300027206_2							unsupervised
3300015168_2	3300015168_2							unsupervised
3300020388_22	3300020388_22							unsupervised
3300007125_11	3300007125_11							unsupervised
3300029661_10	3300029661_10							unsupervised
3300026288_2	3300026288_2							unsupervised
3300029710_14	3300029710_14							unsupervised
3300029719_24	3300029719_24							unsupervised
3300007531_27	3300007531_27							unsupervised
3300029714_12	3300029714_12							unsupervised
2061766007_124	2061766007_124							unsupervised
3300014647_3	3300014647_3							unsupervised
3300018920_6	3300018920_6							unsupervised
3300007996_15	3300007996_15							unsupervised
3300025728_11	3300025728_11							unsupervised
3300025851_22	3300025851_22							unsupervised
3300028593_87	3300028593_87							unsupervised
3300003282_6	3300003282_6							unsupervised
3300028631_8	3300028631_8							unsupervised
3300010285_20	3300010285_20							unsupervised
3300029428_6	3300029428_6							unsupervised
3300029594_30	3300029594_30							unsupervised
3300029857_19	3300029857_19							unsupervised
3300027662_13	3300027662_13							unsupervised
3300029761_7	3300029761_7							unsupervised
3300008520_4	3300008520_4							unsupervised
3300006979_1	3300006979_1							unsupervised
3300012839_8	3300012839_8							unsupervised
3300008096_10	3300008096_10							unsupervised
3300026286_9	3300026286_9							unsupervised
3300029235_9	3300029235_9							unsupervised
3300029706_15	3300029706_15							unsupervised
3300029339_32	3300029339_32							unsupervised
3300011703_3	3300011703_3							unsupervised
3300023251_4	3300023251_4							unsupervised
3300022146_2	3300022146_2							unsupervised
3300029439_15	3300029439_15							unsupervised
3300011146_3	3300011146_3							unsupervised
3300029623_43	3300029623_43							unsupervised
3300014551_9	3300014551_9							unsupervised
3300013586_1	3300013586_1							unsupervised
3300026262_8	3300026262_8							unsupervised
3300029623_28	3300029623_28							unsupervised
3300029214_10	3300029214_10							unsupervised
3300025949_25	3300025949_25							unsupervised
3300024344_6	3300024344_6							unsupervised
3300011386_1	3300011386_1							unsupervised
3300029675_17	3300029675_17							unsupervised
3300007968_6	3300007968_6							unsupervised
3300027503_13	3300027503_13							unsupervised
3300027283_24	3300027283_24							unsupervised
3300025571_14	3300025571_14							unsupervised
3300025869_46	3300025869_46							unsupervised
3300022177_23	3300022177_23							unsupervised
3300014791_5	3300014791_5							unsupervised
3300029487_9	3300029487_9							unsupervised
3300013495_2	3300013495_2							unsupervised
3300029881_29	3300029881_29							unsupervised
3300029407_6	3300029407_6							unsupervised
3300011809_1	3300011809_1							unsupervised
3300025880_37	3300025880_37							unsupervised
3300003364_4	3300003364_4							unsupervised
3300029580_31	3300029580_31							unsupervised
3300008755_25	3300008755_25							unsupervised
3300025299_23	3300025299_23							unsupervised
3300009083_59	3300009083_59							unsupervised
3300029892_10	3300029892_10							unsupervised
3300008161_11	3300008161_11							unsupervised
3300011747_4	3300011747_4							unsupervised
3300006568_8	3300006568_8							unsupervised
3300011926_7	3300011926_7							unsupervised
3300025297_18	3300025297_18							unsupervised
3300029553_12	3300029553_12							unsupervised
3300025775_22	3300025775_22							unsupervised
3300024968_27	3300024968_27							unsupervised
3300008269_3	3300008269_3							unsupervised
3300027319_26	3300027319_26							unsupervised
3300020429_13	3300020429_13							unsupervised
3300018878_96	3300018878_96							unsupervised
3300025409_9	3300025409_9							unsupervised
3300007500_7	3300007500_7							unsupervised
3300013122_41	3300013122_41							unsupervised
3300023065_5	3300023065_5							unsupervised
3300020344_22	3300020344_22							unsupervised
3300025065_9	3300025065_9							unsupervised
3300012006_27	3300012006_27							unsupervised
3300025441_12	3300025441_12							unsupervised
3300008077_12	3300008077_12							unsupervised
3300025480_13	3300025480_13							unsupervised
3300029104_10	3300029104_10							unsupervised
3300029634_9	3300029634_9							unsupervised
3300007296_19	3300007296_19							unsupervised
3300008575_17	3300008575_17							unsupervised
3300024344_27	3300024344_27							unsupervised
3300006499_16	3300006499_16							unsupervised
3300025600_20	3300025600_20							unsupervised
3300010275_6	3300010275_6							unsupervised
3300026957_7	3300026957_7							unsupervised
3300009381_4	3300009381_4							unsupervised
3300029576_12	3300029576_12							unsupervised
3300019775_11	3300019775_11							unsupervised
3300029733_8	3300029733_8							unsupervised
3300029432_21	3300029432_21							unsupervised
3300018043_11	3300018043_11							unsupervised
3300025251_5	3300025251_5							unsupervised
3300025876_47	3300025876_47							unsupervised
3300029441_20	3300029441_20							unsupervised
3300027835_47	3300027835_47							unsupervised
3300013370_2	3300013370_2							unsupervised
3300014806_9	3300014806_9							unsupervised
3300029112_9	3300029112_9							unsupervised
3300011620_2	3300011620_2							unsupervised
3300025263_37	3300025263_37							unsupervised
3300027773_18	3300027773_18							unsupervised
Azolla	Azolla							unsupervised
3300014680_2	3300014680_2							unsupervised
3300029538_13	3300029538_13							unsupervised
3300006226_71	3300006226_71							unsupervised
3300025490_1	3300025490_1							unsupervised
3300006272_1	3300006272_1							unsupervised
3300025420_3	3300025420_3							unsupervised
3300029779_9	3300029779_9							unsupervised
3300012879_7	3300012879_7							unsupervised
3300008129_12	3300008129_12							unsupervised
3300027391_11	3300027391_11							unsupervised
3300027673_8	3300027673_8							unsupervised
3300027800_41	3300027800_41							unsupervised
3300027283_14	3300027283_14							unsupervised
3300010267_19	3300010267_19							unsupervised
3300029118_14	3300029118_14							unsupervised
3300008098_36	3300008098_36							unsupervised
3300028624_5	3300028624_5							unsupervised
3300017646_8	3300017646_8							unsupervised
3300010282_9	3300010282_9							unsupervised
3300029728_13	3300029728_13							unsupervised
3300025373_5	3300025373_5							unsupervised
GCA_964198615.1_ucAstSpeb1.1_alternate_haplotype_genomic	Asterochloris sp. CNOR2		Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Asterochloris	unsupervised
3300028593_31	3300028593_31							unsupervised
3300025584_21	3300025584_21							unsupervised
3300025534_15	3300025534_15							unsupervised
3300027327_19	3300027327_19							unsupervised
3300029190_6	3300029190_6							unsupervised
3300000447_4	3300000447_4							unsupervised
3300012845_5	3300012845_5							unsupervised
3300029612_27	3300029612_27							unsupervised
3300006464_38	3300006464_38							unsupervised
3300026509_104	3300026509_104							unsupervised
3300003155_20	3300003155_20							unsupervised
3300029457_12	3300029457_12							unsupervised
3300029332_14	3300029332_14							unsupervised
3300029377_15	3300029377_15							unsupervised
3300026549_52	3300026549_52							unsupervised
3300029326_7	3300029326_7							unsupervised
3300027592_36	3300027592_36							unsupervised
3300029400_11	3300029400_11							unsupervised
3300026980_11	3300026980_11							unsupervised
3300021419_23	3300021419_23							unsupervised
3300017788_53	3300017788_53							unsupervised
3300014087_3	3300014087_3							unsupervised
3300021092_45	3300021092_45							unsupervised
3300027266_2	3300027266_2							unsupervised
3300029386_22	3300029386_22							unsupervised
3300022661_73	3300022661_73							unsupervised
3300027863_142	3300027863_142							unsupervised
3300029587_15	3300029587_15							unsupervised
3300021300_5	3300021300_5							unsupervised
3300020429_11	3300020429_11							unsupervised
3300027322_5	3300027322_5							unsupervised
3300025477_18	3300025477_18							unsupervised
3300021057_5	3300021057_5							unsupervised
3300023299_6	3300023299_6							unsupervised
3300025272_4	3300025272_4							unsupervised
3300008756_4	3300008756_4							unsupervised
3300027536_10	3300027536_10							unsupervised
3300027896_55	3300027896_55							unsupervised
3300029586_12	3300029586_12							unsupervised
3300014699_2	3300014699_2							unsupervised
3300029861_7	3300029861_7							unsupervised
3300029545_8	3300029545_8							unsupervised
3300011468_1	3300011468_1							unsupervised
3300017788_71	3300017788_71							unsupervised
3300029526_7	3300029526_7							unsupervised
3300029358_22	3300029358_22							unsupervised
3300020478_12	3300020478_12							unsupervised
3300014713_10	3300014713_10							unsupervised
3300020213_20	3300020213_20							unsupervised
3300020295_5	3300020295_5							unsupervised
3300011707_3	3300011707_3							unsupervised
3300008593_2	3300008593_2							unsupervised
3300025343_5	3300025343_5							unsupervised
3300020361_21	3300020361_21							unsupervised
3300013830_16	3300013830_16							unsupervised
3300028974_3	3300028974_3							unsupervised
3300027391_20	3300027391_20							unsupervised
3300029842_28	3300029842_28							unsupervised
3300014664_2	3300014664_2							unsupervised
3300029839_17	3300029839_17							unsupervised
3300029749_31	3300029749_31							unsupervised
3300011851_6	3300011851_6							unsupervised
3300029576_6	3300029576_6							unsupervised
3300012842_7	3300012842_7							unsupervised
3300008537_24	3300008537_24							unsupervised
3300007208_23	3300007208_23							unsupervised
3300025892_13	3300025892_13							unsupervised
3300029891_15	3300029891_15							unsupervised
