accession	accession_full	species	superkingdom	phylum	class	order	family	genus	data_type	source
GCF_014698735.1	GCF_014698735.1_ASM1469873v1_genomic	Anabaena catenula		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	supervised	NCBI_RefSeq
GCF_026810245.1	GCF_026810245.1_ASM2681024v1_genomic	Leuconostoc pseudomesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_031583335.1	GCF_031583335.1_ASM3158333v1_genomic	Thermosynechococcus sp. WL11		Cyanobacteriota	Cyanophyceae	Acaryochloridales	Thermosynechococcaceae	Thermosynechococcus	supervised	NCBI_RefSeq
GCF_047461755.1	GCF_047461755.1_ASM4746175v1_genomic	Synechococcus sp. R65.1		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_964247315.1	GCF_964247315.1_public_SRR14721954_metawrap_bin.4_genomic	uncultured Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_025188685.1	GCF_025188685.1_ASM2518868v1_genomic	Leuconostoc citreum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020246965.1	GCF_020246965.1_ASM2024696v1_genomic	Microcystis sp. M110S1		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_002092245.1	GCF_002092245.1_ASM209224v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_047497125.1	GCF_047497125.1_ASM4749712v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_000317065.1	GCF_000317065.1_ASM31706v1_genomic	Thalassoporum mexicanum		Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Thalassoporaceae	Thalassoporum	supervised	NCBI_RefSeq
GCF_047303045.1	GCF_047303045.1_ASM4730304v1_genomic	Synechococcus sp. MIT S9508		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_020245725.1	GCF_020245725.1_ASM2024572v1_genomic	Microcystis sp. M038S2		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_014696335.1	GCF_014696335.1_ASM1469633v1_genomic	Anabaena sp. FACHB-1250		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	supervised	NCBI_RefSeq
GCF_014634765.1	GCF_014634765.1_ASM1463476v1_genomic	Leuconostoc pseudomesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020089285.1	GCF_020089285.1_ASM2008928v1_genomic	Leuconostoc gelidum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_028619495.1	GCF_028619495.1_ASM2861949v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_023630635.1	GCF_023630635.1_ASM2363063v1_genomic	Synechococcus sp. MU1651		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_002425565.1	GCF_002425565.1_ASM242556v1_genomic	Leuconostoc lactis		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_025128175.1	GCF_025128175.1_ASM2512817v1_genomic	Synechococcus sp. CS-602		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_008690965.1	GCF_008690965.1_ASM869096v1_genomic	Leuconostoc carnosum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_002095975.1	GCF_002095975.1_ASM209597v1_genomic	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_028619855.1	GCF_028619855.1_ASM2861985v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_014697455.1	GCF_014697455.1_ASM1469745v1_genomic	Nostoc sp. FACHB-145		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_028619755.1	GCF_028619755.1_ASM2861975v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_036917415.1	GCF_036917415.1_ASM3691741v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_001184245.1	GCF_001184245.1_ASM118424v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_030585425.1	GCF_030585425.1_ASM3058542v1_genomic	Leuconostoc carnosum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020245525.1	GCF_020245525.1_ASM2024552v1_genomic	Microcystis sp. M069S2		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_943371655.1	GCF_943371655.1_JJ-MEM4D-83-5-m1-bin337_genomic	Synechococcus sp. UW140		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_015207885.1	GCF_015207885.1_ASM1520788v1_genomic	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_900322425.1	GCF_900322425.1_MFPA29A1405_assemby_v1_genomic	Leuconostoc carnosum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_027359395.1	GCF_027359395.1_ASM2735939v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_020245745.1	GCF_020245745.1_ASM2024574v1_genomic	Microcystis sp. M037S2		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_014207505.1	GCF_014207505.1_ASM1420750v1_genomic	Leuconostoc carnosum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_006382035.1	GCF_006382035.1_ASM638203v1_genomic	Leuconostoc pseudomesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_000015665.1	GCF_000015665.1_ASM1566v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_028329095.1	GCF_028329095.1_ASM2832909v1_genomic	Microcystis sp. CS-574		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_008807075.1	GCF_008807075.1_ASM880707v1_genomic	Synechococcus sp. RSCCF101		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_000234825.3	GCF_000234825.3_ASM23482v3_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020246015.1	GCF_020246015.1_ASM2024601v1_genomic	Microcystis sp. M145S2		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_047462415.1	GCF_047462415.1_ASM4746241v1_genomic	Synechococcus sp. H55.6		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_043634175.1	GCF_043634175.1_ASM4363417v1_genomic	Leuconostoc suionicum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_002252665.1	GCF_002252665.1_ASM225266v1_genomic	Synechococcus sp. 8F6		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_000737535.1	GCF_000737535.1_ASM73753v1_genomic	Synechococcus sp. KORDI-100		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_015553465.1	GCF_015553465.1_ASM1555346v1_genomic	Leuconostoc lactis		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_036917395.1	GCF_036917395.1_ASM3691739v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_028619735.1	GCF_028619735.1_ASM2861973v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_003443655.1	GCF_003443655.1_ASM344365v1_genomic	Nostoc sphaeroides		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_004332405.1	GCF_004332405.1_ASM433240v1_genomic	Synechococcus sp. BS56D		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_964186745.1	GCF_964186745.1_AMBP-0460_genomic	Leuconostoc citreum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_019325105.1	GCF_019325105.1_ASM1932510v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_046309415.1	GCF_046309415.1_ASM4630941v1_genomic	Microcystis sp.		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_047720865.1	GCF_047720865.1_ASM4772086v1_genomic	Leuconostoc pseudomesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_000760095.1	GCF_000760095.1_ASM76009v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_964187085.1	GCF_964187085.1_AMBP-0451_genomic	Leuconostoc citreum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020245625.1	GCF_020245625.1_ASM2024562v1_genomic	Microcystis sp. M049S2		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_025188785.1	GCF_025188785.1_ASM2518878v1_genomic	Leuconostoc citreum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_030269065.1	GCF_030269065.1_ASM3026906v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_009711975.1	GCF_009711975.1_ASM971197v1_genomic	Anabaena sp. UHCC 0204		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	supervised	NCBI_RefSeq
GCF_024054375.1	GCF_024054375.1_ASM2405437v1_genomic	Leuconostoc fallax		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_902536725.1	GCF_902536725.1_AG-349-G23_genomic	uncultured Prochlorococcus sp.		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_024498575.1	GCF_024498575.1_ASM2449857v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_002760415.1	GCF_002760415.1_ASM276041v1_genomic	Synechococcus sp. 65AY6A5		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_963870205.1	GCF_963870205.1_ena-yuan-GCF_001597855.1_genomic	Anabaena sp. CA = ATCC 33047		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	supervised	NCBI_RefSeq
GCF_023743945.1	GCF_023743945.1_ASM2374394v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_000759885.1	GCF_000759885.1_ASM75988v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_900473895.1	GCF_900473895.1_N32_genomic	Synechococcus sp. N32		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_900290445.1	GCF_900290445.1_Le_mesenteroides_CECT_9217_Spades_Prokka_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_963870435.1	GCF_963870435.1_ena-yuan-GCF_001693295.1_genomic	Picosynechococcus sp. PCC 8807		Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Picosynechococcus	supervised	NCBI_RefSeq
GCF_036918295.1	GCF_036918295.1_ASM3691829v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_000312705.1	GCF_000312705.1_ASM31270v1_genomic	Anabaena sp. 90		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	supervised	NCBI_RefSeq
GCF_025127995.1	GCF_025127995.1_ASM2512799v1_genomic	Synechococcus sp. CS-1332		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_014696825.1	GCF_014696825.1_ASM1469682v1_genomic	Anabaena sphaerica		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	supervised	NCBI_RefSeq
GCF_019325065.1	GCF_019325065.1_ASM1932506v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_028618945.1	GCF_028618945.1_ASM2861894v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_036917915.1	GCF_036917915.1_ASM3691791v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_036917615.1	GCF_036917615.1_ASM3691761v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_025188485.1	GCF_025188485.1_ASM2518848v1_genomic	Leuconostoc citreum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_964247095.1	GCF_964247095.1_public_SRR11456921_metawrap_bin.3_genomic	uncultured Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_028619555.1	GCF_028619555.1_ASM2861955v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_025188295.1	GCF_025188295.1_ASM2518829v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_029636065.1	GCF_029636065.1_ASM2963606v1_genomic	Synechococcus sp. CCFWC 502		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_020088915.1	GCF_020088915.1_ASM2008891v1_genomic	Leuconostoc gasicomitatum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_003255835.1	GCF_003255835.1_ASM325583v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_006406185.1	GCF_006406185.1_ASM640618v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_012933595.1	GCF_012933595.1_ASM1293359v1_genomic	Prochlorococcus sp.P1363		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_001184265.1	GCF_001184265.1_ASM118426v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_025188575.1	GCF_025188575.1_ASM2518857v1_genomic	Leuconostoc citreum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_045559975.1	GCF_045559975.1_ASM4555997v1_genomic	Parasynechococcus sp.		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Parasynechococcus	supervised	NCBI_RefSeq
GCF_025188365.1	GCF_025188365.1_ASM2518836v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_023630655.1	GCF_023630655.1_ASM2363065v1_genomic	Synechococcus sp. MU1655		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_014696355.1	GCF_014696355.1_ASM1469635v1_genomic	Pseudanabaena sp. FACHB-1998		Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	supervised	NCBI_RefSeq
GCF_047502685.1	GCF_047502685.1_ASM4750268v1_genomic	Synechococcus sp. OH20		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_002092735.1	GCF_002092735.1_ASM209273v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_047461735.1	GCF_047461735.1_ASM4746173v1_genomic	Synechococcus sp. R6-6		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_020514275.1	GCF_020514275.1_ASM2051427v1_genomic	Synechococcus sp. HBA1120		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_007989505.1	GCF_007989505.1_ASM798950v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020245845.1	GCF_020245845.1_ASM2024584v1_genomic	Microcystis sp. M172S2		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_029823155.1	GCF_029823155.1_ASM2982315v1_genomic	Leuconostoc falkenbergense		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_022984195.1	GCF_022984195.1_ASM2298419v1_genomic	Synechococcus elongatus		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_002245985.1	GCF_002245985.1_ASM224598v1_genomic	Nostoc sp. 'Peltigera membranacea cyanobiont' 232		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_000760195.1	GCF_000760195.1_ASM76019v1_genomic	Prochlorococcus sp. MIT 0602		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_036917875.1	GCF_036917875.1_ASM3691787v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_046507635.1	GCF_046507635.1_ASM4650763v1_genomic	Leuconostoc suionicum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_002025445.1	GCF_002025445.1_KWv02_genomic	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_028618725.1	GCF_028618725.1_ASM2861872v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_902374135.1	GCF_902374135.1_MGYG-HGUT-01341_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020246605.1	GCF_020246605.1_ASM2024660v1_genomic	Microcystis sp. M048S1		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_002804045.1	GCF_002804045.1_ASM280404v1_genomic	Leuconostoc citreum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_943371325.1	GCF_943371325.1_JJ-ME9A6-316-8-m1-bin336_genomic	Synechococcus sp. UW140		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_025211315.1	GCF_025211315.1_ASM2521131v1_genomic	Leuconostoc falkenbergense		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_000759875.1	GCF_000759875.1_ASM75987v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_036916695.1	GCF_036916695.1_ASM3691669v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_046306685.1	GCF_046306685.1_ASM4630668v1_genomic	Microcystis sp.		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_047462195.1	GCF_047462195.1_ASM4746219v1_genomic	Synechococcus sp. R3-13		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_047727405.1	GCF_047727405.1_ASM4772740v1_genomic	Leuconostoc falkenbergense		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_009913935.1	GCF_009913935.1_ASM991393v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_014634805.1	GCF_014634805.1_ASM1463480v1_genomic	Leuconostoc falkenbergense		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_030019555.1	GCF_030019555.1_ASM3001955v1_genomic	Leuconostoc suionicum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_027531725.1	GCF_027531725.1_ASM2753172v1_genomic	Microcystis sp. LE19-55.1A		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_000196855.1	GCF_000196855.1_ASM19685v1_genomic	Leuconostoc gasicomitatum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_012933605.1	GCF_012933605.1_ASM1293360v1_genomic	Prochlorococcus sp. P1344		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
GCF_019926925.1	GCF_019926925.1_ASM1992692v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_036919895.1	GCF_036919895.1_ASM3691989v1_genomic	Nostoc sp.		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_963885345.1	GCF_963885345.1_ena-yuan-GCF_006937785.1_genomic	Pseudanabaena sp. UWO311		Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	supervised	NCBI_RefSeq
GCF_003011125.1	GCF_003011125.1_ASM301112v1_genomic	Synechococcus lacustris		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_030017075.1	GCF_030017075.1_ASM3001707v1_genomic	Leuconostoc falkenbergense		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_020089425.1	GCF_020089425.1_ASM2008942v1_genomic	Leuconostoc gelidum		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_943372525.1	GCF_943372525.1_JJ-MIK16A5-260-1-mx-bin673_genomic	Synechococcus sp. UW140		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_019137795.1	GCF_019137795.1_ASM1913779v1_genomic	Picosynechococcus sp. PCC 7002		Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Picosynechococcus	supervised	NCBI_RefSeq
GCF_900473955.1	GCF_900473955.1_GEYO_genomic	Synechococcus sp. GEYO		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	supervised	NCBI_RefSeq
GCF_028619145.1	GCF_028619145.1_ASM2861914v1_genomic	Leuconostoc mesenteroides		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_017114985.1	GCF_017114985.1_ASM1711498v1_genomic	Nostoc sp. JL33		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	supervised	NCBI_RefSeq
GCF_008579445.1	GCF_008579445.1_ASM857944v1_genomic	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_008107645.1	GCF_008107645.1_ASM810764v1_genomic	Leuconostoc litchii		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	supervised	NCBI_RefSeq
GCF_000012465.1	GCF_000012465.1_ASM1246v1_genomic	Prochlorococcus marinus		Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	supervised	NCBI_RefSeq
